Tag Name,Value,Club Name,Username
Sports,0.7,Aikido Club,NULL
Technology,0.6,Aikido Club,NULL
Outside,0.6,Aikido Club,NULL
Space,0.8,Aikido Club,NULL
Creative,0.5,Aikido Club,NULL
General-Ed,1.0,Aikido Club,NULL
Language,0.6,Aikido Club,NULL
Mutli-Cultural,0.9,Aikido Club,NULL
Sports,0.2,Alpha Phi Omega,NULL
Technology,0.8,Alpha Phi Omega,NULL
Outside,0.4,Alpha Phi Omega,NULL
Space,0.8,Alpha Phi Omega,NULL
Creative,0.3,Alpha Phi Omega,NULL
General-Ed,0.2,Alpha Phi Omega,NULL
Language,0.0,Alpha Phi Omega,NULL
Mutli-Cultural,0.9,Alpha Phi Omega,NULL
Sports,0.6,American Sign Language Club,NULL
Technology,0.5,American Sign Language Club,NULL
Outside,0.5,American Sign Language Club,NULL
Space,0.7,American Sign Language Club,NULL
Creative,0.4,American Sign Language Club,NULL
General-Ed,1.0,American Sign Language Club,NULL
Language,0.8,American Sign Language Club,NULL
Mutli-Cultural,0.1,American Sign Language Club,NULL
Sports,0.5,BioEnviron,NULL
Technology,0.3,BioEnviron,NULL
Outside,0.9,BioEnviron,NULL
Space,0.2,BioEnviron,NULL
Creative,0.7,BioEnviron,NULL
General-Ed,0.5,BioEnviron,NULL
Language,0.3,BioEnviron,NULL
Mutli-Cultural,0.5,BioEnviron,NULL
Sports,0.8,Educators for Social Justice,NULL
Technology,0.7,Educators for Social Justice,NULL
Outside,0.7,Educators for Social Justice,NULL
Space,0.2,Educators for Social Justice,NULL
Creative,1.0,Educators for Social Justice,NULL
General-Ed,0.9,Educators for Social Justice,NULL
Language,0.8,Educators for Social Justice,NULL
Mutli-Cultural,0.3,Educators for Social Justice,NULL
Sports,0.1,Esports Association,NULL
Technology,0.1,Esports Association,NULL
Outside,0.1,Esports Association,NULL
Space,0.6,Esports Association,NULL
Creative,0.1,Esports Association,NULL
General-Ed,0.6,Esports Association,NULL
Language,0.0,Esports Association,NULL
Mutli-Cultural,0.9,Esports Association,NULL
Sports,0.1,Middle Eastern Cultural Society,NULL
Technology,0.2,Middle Eastern Cultural Society,NULL
Outside,0.6,Middle Eastern Cultural Society,NULL
Space,1.0,Middle Eastern Cultural Society,NULL
Creative,0.8,Middle Eastern Cultural Society,NULL
General-Ed,0.6,Middle Eastern Cultural Society,NULL
Language,1.0,Middle Eastern Cultural Society,NULL
Mutli-Cultural,0.3,Middle Eastern Cultural Society,NULL
Sports,0.7,PE Society,NULL
Technology,0.3,PE Society,NULL
Outside,1.0,PE Society,NULL
Space,0.7,PE Society,NULL
Creative,0.4,PE Society,NULL
General-Ed,0.4,PE Society,NULL
Language,0.0,PE Society,NULL
Mutli-Cultural,0.8,PE Society,NULL
Sports,0.1,Photo Club,NULL
Technology,0.4,Photo Club,NULL
Outside,0.5,Photo Club,NULL
Space,0.3,Photo Club,NULL
Creative,0.6,Photo Club,NULL
General-Ed,0.2,Photo Club,NULL
Language,0.4,Photo Club,NULL
Mutli-Cultural,0.1,Photo Club,NULL
Sports,0.7,Salisbury Smasherz,NULL
Technology,0.5,Salisbury Smasherz,NULL
Outside,0.2,Salisbury Smasherz,NULL
Space,0.6,Salisbury Smasherz,NULL
Creative,0.3,Salisbury Smasherz,NULL
General-Ed,0.1,Salisbury Smasherz,NULL
Language,0.9,Salisbury Smasherz,NULL
Mutli-Cultural,0.5,Salisbury Smasherz,NULL
Sports,0.8,Sigma Alpha Epsilon,NULL
Technology,0.3,Sigma Alpha Epsilon,NULL
Outside,1.0,Sigma Alpha Epsilon,NULL
Space,0.2,Sigma Alpha Epsilon,NULL
Creative,0.3,Sigma Alpha Epsilon,NULL
General-Ed,0.2,Sigma Alpha Epsilon,NULL
Language,0.8,Sigma Alpha Epsilon,NULL
Mutli-Cultural,0.5,Sigma Alpha Epsilon,NULL
Sports,0.1,Starnet Society,NULL
Technology,0.2,Starnet Society,NULL
Outside,0.7,Starnet Society,NULL
Space,0.3,Starnet Society,NULL
Creative,0.3,Starnet Society,NULL
General-Ed,0.3,Starnet Society,NULL
Language,0.5,Starnet Society,NULL
Mutli-Cultural,0.7,Starnet Society,NULL
Sports,0.7,Zeta Tau Alpha,NULL
Technology,0.4,Zeta Tau Alpha,NULL
Outside,0.4,Zeta Tau Alpha,NULL
Space,1.0,Zeta Tau Alpha,NULL
Creative,0.3,Zeta Tau Alpha,NULL
General-Ed,0.9,Zeta Tau Alpha,NULL
Language,0.5,Zeta Tau Alpha,NULL
Mutli-Cultural,0.2,Zeta Tau Alpha,NULL
